English,French,Ewondo - AGLC,Prefixe nominal,Word: mot,Prefixe,Stem: radical de base,Suffixe,Nominal class,Gender,Part of speech,Notes
frustration,dépit,wɔ́b (ǹ-/min-),n-/min-,wòb,,wòb,ø,cl3/cl4,Gender-2,nom,
disappointment,désappointement,bóm (o-/a-),o-/a-,bom,,bom,ø,cl11/cl5,Gender-8,nom,
disapprover,désapprobateur,kin (ǹ-/min-),n-/min-,kin,,kin,ø,cl3/cl4,Gender-2,nom,
improver,improbateur,síe (ǹ-/min-),n-/min-,sie,,sie,ø,cl3/cl4,Gender-2,nom,
disapproving,réprobateur,dzo (ǹ-/min-),n-/min-,dzo,,dzo,ø,cl3/cl4,Gender-2,nom,
disapproval,désapprobation,mvám (ø-/ø-),ø-/ø-,mvam,,mvam,ø,cl9/cl10,Gender-5,nom,
rejection,rejet,kiní (a-/a-),a-/a-,kin-i,,kin-,i,cl5/cl5,Gender-3f,nom,
blame,blâme,síán (ǹ-/min-),n-/min-,si-an,,si-,an,cl3/cl4,Gender-2,nom,
rejection,refus,kin (o-/a-),o-/a-,kin,,kin,ø,cl11/cl5,Gender-8,nom,
contestation,contestation,dzaa (e-/bi-),e-/bi-,dza-a,,dza-,a,cl7/cl8,Gender-4,nom,
dissent,dissension,kpa (e-/bi-),e-/bi-,kpa,,kpa,ø,cl7/cl8,Gender-4,nom,
disapproved,désapprouvé,síán (ǹ-/min-),n-/min-,si-an,,si-,an,cl3/cl4,Gender-2,nom,
bewildered,désarçonné,lalá (ø-/ø-),ø-/ø-,lala,,lala,ø,cl9/cl10,Gender-5,nom,
disarming,désarmant,ngɔ́l (ø-/ø-),ø-/ø-,ngòl,,ngòl,ø,cl9/cl10,Gender-5,nom,
unstowing,désarrimage,tyé (e-/bi-),e-/bi-,tye,,tye,ø,cl7/cl8,Gender-4,nom,
ripage,ripage,etii (ø-/ø-),ø-/ø-,eti-i,,eti-,i,cl9/cl10,Gender-5,nom,
rigging,ripement,tyán (ǹ-/min-),n-/min-,ty-an,,tye-,an,cl3/cl4,Gender-2,nom,
fright,effroi,wɔ̌ŋ (ø-/ø-),ø-/ø-,wòṅ,,wòṅ,ø,cl9/cl10,Gender-5,nom,
dismay,désarroi,kiligiki (ø-/ø-),ø-/ø-,kilig-ik-i,,kilig-,ik-i,cl9/cl10,Gender-5,nom,
anxiety,inquiétude,lalágá (ø-/ø-),ø-/ø-,la-lag-a,la,-lag-,a,cl9/cl10,Gender-5,nom,
fright,frayeur,təgələtəbə (ø-/ø-),ø-/ø-,tëg-ël-ë-tëb-ë,,tëg-,ël-ë-tëb-ë,cl9/cl10,Gender-5,nom,
anguish,affres,yəbəgá (e-/bi-),e-/bi-,yëb-ëg-a,,yëb-,ëg-a,cl7/cl8,Gender-4,nom,
anxiety,anxiété,vadan (a-/mə-),a-/më-,vad-an,,vad-,an,cl5/cl6,Gender-3,nom,
cold pricklies,angoisse,səsáŋán (ǹ-/min-),n-/min-,së-saṅ-an,së,-san-,an,cl3/cl4,Gender-2,nom,
disarray,désarroi,lún (o-/o-),o-/o-,lun,,lun,ø,cl11/cl11,Gender-8b,nom,
disarticulation,désarticulation,fóŋōná (m̀-/min-),m-/min-,foṅ-on-a,,-fon,on-a,cl3/cl4,Gender-2,nom,
disjunction,disjonction,fóŋán (m̀-/min-),m-/min-,foṅ-an,,foṅ-,an,cl3/cl4,Gender-2,nom,
blistering,boursuflure,mvímili (ø-/ø-),ø-/ø-,mvim-il-i,,mvim-,il-i,cl9/cl10,Gender-5,nom,
disarticulated,désarticulé,fóǹán (m̀-/min-),m-/min-,fon-an,,fon-,an,cl3/cl4,Gender-2,nom,
disassembling,désassemblage,kándí (a-/mə-),a-/më-,kand-i,,kand-,i,cl5/cl6,Gender-3,nom,
disassort,désassortiment,sɔ́dán (ǹ-/min-),n-/min-,sòd-an,,sòd-,an,cl3/cl4,Gender-2,nom,
disaster,désastre,badəlɔ́g (ø-/ø-),ø-/ø-,badëlòg,,badëlòg,ø,cl9/cl10,Gender-5,nom,
discomfiture,déconfiture,mkpa kəmə (ø-/ø-),ø-/ø-,mkpa këmë,,mkpa këmë,ø,cl9/cl10,Gender-5,nom,
calamity,calamité,malá (a-/mə-),a-/më-,mal-a,,mal-,a,cl5/cl6,Gender-3,nom,
cataclysm,cataclysme,nyamá (a-/mə-),a-/më-,nyam-a,,nyam-,a,cl5/cl6,Gender-3,nom,
catastrophe,catastrophe,bubua (e-/bi-),e-/bi-,bu-bua,bu,-bua,ø,cl7/cl8,Gender-4,nom,
disastrous,désastreux,bé (a-/mə-),a-/më-,be,,be,ø,cl5/cl6,Gender-3,nom,
misfortune,infortune,mvənde (ø-/ø-),ø-/ø-,mvënd-e,,mvënd-,e,cl9/cl10,Gender-5,nom,
deplorable,déplorable,ángōndó (ø-/ø-),ø-/ø-,angond-o,,angond-,o,cl9/cl10,Gender-5,nom,
damage,dommage,kǒkɔbɔlɔ (ø-/ø-),ø-/ø-,ko-kob-ol-o,ko,-kob-,ol-o,cl9/cl10,Gender-5,nom,
detriment,détriment,sobóló (a-/mə-),a-/më-,sob-ol-o,,sob-,ol-o,cl5/cl6,Gender-3,nom,
prejudice,préjudice,wɔ́b (ǹ-/min-),n-/min-,wòb,,wòb,ø,cl3/cl4,Gender-2,nom,
disadvantage,désavantage,bóm (o-/a-),o-/a-,bom,,bom,ø,cl11/cl5,Gender-8,nom,
outrage,outrager,kin (ø-/ø-),ø-/ø-,kin,,kin,ø,cl9/cl10,Gender-5,nom,
disadvantageous,désavantageux,bóm (o-/a-),o-/a-,bom,,bom,ø,cl11/cl5,Gender-8,nom,
disavow,désaveu,síé (a-/mə-),a-/më-,sie,,sie,ø,cl5/cl6,Gender-3,nom,
accusation,accusation,sólán (a-/mə-),a-/më-,sol-an,,sol-,an,cl5/cl6,Gender-3,nom,
criticism,critique,tǒd (e-/bi-),e-/bi-,tod,,tod,ø,cl7/cl8,Gender-4,nom,
denunciation,délation,síán (ǹ-/min-),n-/min-,si-an,,si-,an,cl3/cl4,Gender-2,nom,
defamation,diffamation,vɛs (o-/a-),o-/a-,vès,,vès,ø,cl11/cl5,Gender-8,nom,
reproach,reproche,sóó (a-/mə-),a-/më-,soo,,soo,ø,cl5/cl6,Gender-3,nom,
grievance,grief,dɔli (e-/bi-),e-/bi-,dòl-i,,dòl-,i,cl7/cl8,Gender-4,nom,
reprimand,reprimande,báŋán (m̀-/min-),m-/min-,baṅ-an,,baṅ-,an,cl3/cl4,Gender-2,nom,
disavowed,désavoeu,ndod (ø-/ø-),ø-/ø-,ndod,,ndod,ø,cl9/cl10,Gender-5,nom,
disavowed,désavoué,tǒd (bi-/bi-),bi-/bi-,tod,,tod,ø,cl8/cl8,Gender-4b,nom,
disavowal,reniement,sasán (ǹ-/min-),n-/min-,sa-san,sa,-san,ø,cl3/cl4,Gender-2,nom,
refutation,refutation,yə́gan (a-/mə-),a-/më-,yëgan,,yëgan,ø,cl5/cl6,Gender-3,nom,
misaligned,désaxé,fufúlán (m̀-/min-),m-/min-,fu-ful-an,fu,-fulu-,an,cl3/cl4,Gender-2,nom,
deranged,détraqué,tsə́tsá (ǹ-/min-),n-/min-,tsë-tsa,tsë,-tsa,ø,cl3/cl4,Gender-2,nom,
unbalanced,déséquilibré,kúkud (o-/o-),o-/o-,ku-kud,ku,-kud,ø,cl11/cl11,Gender-8b,nom,
descendants,descendance,mvóg (ø-/ø-),ø-/ø-,mvog,,mvog,ø,cl9/cl10,Gender-5,nom,
posterity,postérité,mvɔŋ (ø-/mə-),ø-/më-,mvòṅ,,mvòṅ,ø,cl9/cl6,Gender-7,nom,
seed,semence,nda bod (ø-/mə-),ø-/më-,nda bod,,nda bod,ø,cl9/cl6,Gender-7,nom,
lineage,lignée,ngonga (ø-/ø-),ø-/ø-,ngong-a,,ngong,a,cl9/cl10,Gender-5,nom,
filiation,filiation,vúman (a-/a-),a-/a-,vum-an,,vum-,an,cl5/cl5,Gender-3f,nom,
generation,génération,yom (a-/a-),a-/a-,yom,,yom,ø,cl5/cl5,Gender-3f,nom,
origin,origine,byal (e-/e-),e-/e-,byal,,byal,ø,cl7/cl7,Gender-4a,nom,
extraction,extraction,fâla (e-/bi-),e-/bi-,fal-a,,fal-,a,cl7/cl8,Gender-4,nom,
race,race,kas (ǹ-/min-),n-/min-,kas,,kas,ø,cl3/cl4,Gender-2,nom,
parentage,parenté,vúvúmán (e-/bi-),e-/bi-,vu-vum-an,vu,-vum-,an,cl7/cl8,Gender-4,nom,
descendant of,descendant de,ǎn (m-/m-),m-/m-,an,,an,ø,cl6a/cl6a,Gender-3j,nom,
descended (to be),descendu (être),sigán (ǹ-/min-),n-/min-,sig-an,,sig-,an,cl3/cl4,Gender-2,nom,
descender,descenseur,suuga (e-/bi-),e-/bi-,suug-a,,suug-,a,cl7/cl8,Gender-4,nom,
avalanche,avalanche,kpatólo (ø-/ø-),ø-/ø-,kpatolo,,kpatolo,ø,cl9/cl10,Gender-5,nom,
slope,pente,lúmbú (a-/mə-),a-/më-,lumb-u,,lumb-,u,cl5/cl6,Gender-3,nom,
declivity,déclivité,suí (a-/mə-),a-/më-,sui,,sui,ø,cl5/cl6,Gender-3,nom,
vertical drop,dénivellation,susú (a-/mə-),a-/më-,sus-u,,sus-,u,cl5/cl6,Gender-3,nom,
vertical drop,dénivellée,suzú (a-/mə-),a-/më-,suz-u,,suz-,u,cl5/cl6,Gender-3,nom,
tumble,dévaler,wɔ́ndí (a-/mə-),a-/më-,wònd-i,,wònd-,i,cl5/cl6,Gender-3,nom,
tumble,dégringolade,kúkua (e-/bi-),e-/bi-,ku-kua,ku,-kua,ø,cl7/cl8,Gender-4,nom,
subsidence,affaissement,sui (e-/bi-),e-/bi-,su-i,,su-,i,cl7/cl8,Gender-4,nom,
collapse,effondrement,sus (e-/bi-),e-/bi-,su-s,,su-,s,cl7/cl8,Gender-4,nom,
collapse,écroulement,dzədə́g (mə-/mə-),më-/më-,dzëdëg,,dzëdëg,ø,cl6/cl6,Gender-5,nom,
scree,éboulis,lúmbu (mə-/mə-),më-/më-,lum-b-u,,lum-,b-u,cl6/cl6,Gender-5,nom,
slide,glissement,sende (mə-/mə-),më-/më-,sen-de,,sen-,de,cl6/cl6,Gender-5,nom,
descent,descente,sigi (mə-/mə-),më-/më-,sig-i,,sig-,i,cl6/cl6,Gender-5,nom,
descent,descente,sus (mə-/mə-),më-/më-,sus,,sus,ø,cl6/cl6,Gender-5,nom,
slope,pente,lúmbu (ǹ-/min-),n-/min-,lumb-u,,lumb-,u,cl3/cl4,Gender-2,nom,
incursion,incursion,sigán (ǹ-/min-),n-/min-,sig-an,,sig-,an,cl3/cl4,Gender-2,nom,
ingression,ingression,sui (ǹ-/min-),n-/min-,su-i,,su-,i,cl3/cl4,Gender-2,nom,
drop,baisse,suzán (ǹ-/min-),n-/min-,suz-an,,suz-,an,cl3/cl4,Gender-2,nom,
roundup,rafle,wɔ́ndán (ǹ-/min-),n-/min-,wòn-d-an,,wòn-,d-an,cl3/cl4,Gender-2,nom,
descent of bed,descente de lit,tidi məkǒl (e-/bi-),e-/bi-,tidi mëkol,,tidi mëkol,ø,cl7/cl8,Gender-4,nom,
police control,contrôle de police,fyal (e-/bi-),e-/bi-,fyal,,fyal,ø,cl7/cl8,Gender-4,nom,
steep slope,pente raide,sende (ǹ-/min-),n-/min-,sen-de,,sen-,de,cl3/cl4,Gender-2,nom,
descriptor,descripteur,tili (ǹ-/min-),n-/min-,til-i,,til-,i,cl3/cl4,Gender-2,nom,
descriptor,descriptible,tiliban (ø-/ø-),ø-/ø-,til-i-b-an,,til-,i-b-an,cl9/cl10,Gender-5,nom,
descriptor,descriptif,tilí (a-/mə-),a-/më-,til-i,,til-,i,cl5/cl6,Gender-3,nom,
registration,inscription,tilán (ǹ-/min-),n-/min-,til-an,,til-,an,cl3/cl4,Gender-2,nom,
description,description,ndɔ́ŋ (ø-/mə-),ø-/më-,ndòṅ,,ndòṅ,ø,cl9/cl6,Gender-7,nom,
portrait,portrait,tilí (a-/mə-),a-/më-,til-i,,til-,i,cl5/cl6,Gender-3,nom,
representation,représentation,tíe (e-/bi-),e-/bi-,tie,,tie,ø,cl7/cl8,Gender-4,nom,
helpless,désemparé,dzaŋan (ǹ-/min-),n-/min-,dzaṅ-an,,dzaṅ-,an,cl3/cl4,Gender-2,nom,
helpless,impotent,ndom (e-/bi-),e-/bi-,ndom,,ndom,ø,cl7/cl8,Gender-4,nom,
incapable,incapable,ləməle (ø-/ø-),ø-/ø-,lëm-ël-e,,lëm-,ël-e,cl9/cl10,Gender-5,nom,
disorientation,désorientation,talaba (ø-/ø-),ø-/ø-,tal-ab-a,,tal-,ab-a,cl9/cl10,Gender-5,nom,
disenchantment,désenvoûtement,mvabi (ø-/ø-),ø-/ø-,mvab-i,,mvab-,i,cl9/cl10,Gender-5,nom,
desert,désert,fud (ø-/ø-),ø-/ø-,fud,,fud,ø,cl9/cl10,Gender-5,nom,
deserted,déserté,fun (e-/bi-),e-/bi-,fun,,fun,ø,cl7/cl8,Gender-4,nom,
despair,désespoir,yəbəga (bi-/bi-),bi-/bi-,yëbë-ga,,yëbë-,ga,cl8/cl8,Gender-4b,nom,
drought,sécheresse,kód (ǹ-/min-),n-/min-,kod,,kod,ø,cl3/cl4,Gender-2,nom,
deserted,déserté,won (o-/o-),o-/o-,won,,won,ø,cl11/cl11,Gender-8b,nom,
deserted,déserté,líg (e-/bi-),e-/bi-,lig,,lig,ø,cl7/cl8,Gender-4,nom,
unoccupied,inoccupé,wú (e-/bi-),e-/bi-,wu,,wu,ø,cl7/cl8,Gender-4,nom,
deserter,déserteur,bámáŋ (m̀-/min-),m-/min-,bam-aṅ,,bam-,an,cl3/cl4,Gender-2,nom,
desert,désert,kódo (ǹ-/min-),n-/min-,kod-o,,kod-,o,cl3/cl4,Gender-2,nom,
desertion,désertion,lígi (mə-/mə-),më-/më-,lig-i,,lig-,i,cl6/cl6,Gender-5,nom,
defector,transfuge,bámaǹ (m̀-/min-),m-/min-,bam-an,,bam-,an,cl3/cl4,Gender-2,nom,
renunciation,renoncement,bámi (m̀-/min-),m-/min-,bam-i,,bam-,i,cl3/cl4,Gender-2,nom,
abandonment,abandon,lígán (ǹ-/min-),n-/min-,lig-an,,lig-,an,cl3/cl4,Gender-2,nom,
withdrawal,désistement,túbán (ǹ-/min-),n-/min-,tub-an,,tub-,an,cl3/cl4,Gender-2,nom,
battle,bataille,ndǔm (ø-/ø-),ø-/ø-,ndum,,ndum,ø,cl9/cl10,Gender-5,nom,
dispute,dispute,zuǹa (ø-/ø-),ø-/ø-,zun-a,,zuṅ-,a,cl9/cl10,Gender-5,nom,
battle,bataille,badán (a-/mə-),a-/më-,bad-an,,bad-,an,cl5/cl6,Gender-3,nom,
war,guerre,tá (bi-/bi-),bi-/bi-,ta,,ta,ø,cl8/cl8,Gender-4b,nom,
conflict,conflit,kukum (e-/bi-),e-/bi-,ku-kum,ku,-kum,ø,cl7/cl8,Gender-4,nom,
combat,combat,lúman (mə-/mə-),më-/më-,lum-an,,lum-,an,cl6/cl6,Gender-5,nom,
duel,duel,siǹ (mə-/mə-),më-/më-,sin,,sin,ø,cl6/cl6,Gender-5,nom,
brawl,rixe,yídan (mə-/mə-),më-/më-,yid-an,,yid,an,cl6/cl6,Gender-5,nom,
skirmish,échauffourée,siŋán (ǹ-/min-),n-/min-,siṅ-an,,siṅ-,an,cl3/cl4,Gender-2,nom,
confrontation,affrontement,yídán (ǹ-/min-),n-/min-,yid-an,,yid-,an,cl3/cl4,Gender-2,nom,
brawler,batailleur,ləlag (bi-/bi-),bi-/bi-,lë-lag,lë,-lag,ø,cl8/cl8,Gender-4b,nom,
hostility,hostilité,laŋ (e-/bi-),e-/bi-,laṅ,,laṅ,ø,cl7/cl8,Gender-4,nom,
offensive,offensive,ləlaǹ (ǹ-/min-),n-/min-,lë-lan,lë,-lan,ø,cl3/cl4,Gender-2,nom,
scuffle,bagarre,lúman (ǹ-/min-),n-/min-,lum-an,,lum-,an,cl3/cl4,Gender-2,nom,
quarrel,querelle,wóman (ǹ-/min-),n-/min-,wom-an,,wom-,an,cl3/cl4,Gender-2,nom,
army,armée,yóyɔ́g (ǹ-/min-),n-/min-,yo-yòg,yo,-yog,ø,cl3/cl4,Gender-2,nom,
battalion,bataillon,zimbi (bə-/bə-),bë-/bë-,zimb-i,,zimbi-,i,cl2/cl2,Gender-1b,nom,
horde,horde,fufɔǹ (e-/bi-),e-/bi-,fu-fon,fu,-fon,ø,cl7/cl8,Gender-4,nom,
host,kyrielle,títíb (e-/bi-),e-/bi-,ti-tib,ti,-tib,ø,cl7/cl8,Gender-4,nom,
legion,légion,kunda (ǹ-/min-),n-/min-,kund-a,,kund-,a,cl3/cl4,Gender-2,nom,
multitude,pléiade,sɔl (ǹ-/min-),n-/min-,sol,,sol,ø,cl3/cl4,Gender-2,nom,
bastard,bâtard,tsalí (ø-/ø-),ø-/ø-,tsal-i,,tsal-,i,cl9/cl10,Gender-5,nom,
steamboat,bateau à vapeur,zitíma (ø-/ø-),ø-/ø-,zitim-a,,zitim-,a,cl9/cl10,Gender-5,nom,
building,bâtiment,loǹ (mə-/mə-),më-/më-,lon,,lon,ø,cl6/cl6,Gender-5,nom,
builder,bâtisseur,máwad (ø-/bə-),ø-/bë-,mawad,,mawad,ø,cl9/cl2,Gender-6,nom,
founder,fondateur,bonde (m̀-/bə-),m-/bë-,bond-e,,bond-,e,cl1/cl2,Gender-1,nom,
constructor,constructeur,loǹ (ǹ-/bə-),n-/bë-,lon,,lon,ø,cl1/cl2,Gender-1,nom,
stick,bâton,wɔsətíg (ø-/ø-),ø-/ø-,wosëtig,,wosëtig,ø,cl9/cl10,Gender-5,nom,
rod,verge,ngəǹ (e-/bi-),e-/bi-,ngën,,ngën,ø,cl7/cl8,Gender-4,nom,
whip,cravache,fés (m̀-/min-),m-/min-,fes,,fes,ø,cl3/cl4,Gender-2,nom,
cane,canne,túm (ǹ-/min-),n-/min-,tum,,tum,ø,cl3/cl4,Gender-2,nom,
wand,baguette,lé (o-/a-),o-/a-,le,,le,ø,cl11/cl5,Gender-8,nom,
battery,batterie,kínda (ø-/ø-),ø-/ø-,kind-a,,kind-,a,cl9/cl10,Gender-5,nom,
arsenal,arsenal,ndǔm (ø-/ø-),ø-/ø-,ndum,,ndum,ø,cl9/cl10,Gender-5,nom,
palette,palette,ngɔg (ø-/ø-),ø-/ø-,ngog,,ngog,ø,cl9/cl10,Gender-5,nom,
blows,coups,yídán (ǹ-/min-),n-/min-,yid-an,,yid-,an,cl3/cl4,Gender-2,nom,
stick,bâtonnet,fés (m̀-/min-),m-/min-,fes,,fes,ø,cl3/cl4,Gender-2,nom,
magic wand,bâtonnet magique,kos (ǹ-/min-),n-/min-,kos,,kos,ø,cl3/cl4,Gender-2,nom,
toad,crapeau,bəba (ø-/ø-),ø-/ø-,bëb-a,,bëb-,a,cl9/cl10,Gender-5,nom,
amphibian,batracien,bəb (a-/mə-),a-/më-,bëb-,,bëb,ø,cl5/cl6,Gender-3,nom,
threshing,battage,bəgəle (o-/o-),o-/o-,bëg-ël-e,,bëg-,ël-e,cl11/cl11,Gender-8b,nom,
racket,tapage,koe (o-/o-),o-/o-,koe,,koe,ø,cl11/cl11,Gender-8b,nom,
pounding,pillonage,wumi (o-/o-),o-/o-,wum-i,,wum-,i,cl11/cl11,Gender-8b,nom,
striker,battant,wólo (e-/bi-),e-/bi-,wol-o,,wol-,o,cl7/cl8,Gender-4,nom,
insolent,insolent,fúan (e-/bi-),e-/bi-,fu-an,,fua-,an,cl7/cl8,Gender-4,nom,
aggressive,agressif,loga (ǹ-/min-),n-/min-,log-a,,log-,a,cl3/cl4,Gender-2,nom,
provocative,provocateur,log (ǹ-/min-),n-/min-,log,,log,ø,cl3/cl4,Gender-2,nom,
hateful,haineux,siŋ (ǹ-/bə-),n-/bë-,siṅ,,siṅ,ø,cl1/cl2,Gender-1,nom,
trouble,tracas,yəb (o-/o-),o-/o-,yëb,,yëb,ø,cl11/cl11,Gender-8b,nom,
bat,batte,ngəǹ (e-/bi-),e-/bi-,ngën,,ngën,ø,cl7/cl8,Gender-4,nom,
beat,battement,mvomoǹa (ø-/ø-),ø-/ø-,mvom-on-a,,mvom-,on-a,cl9/cl10,Gender-5,nom,
drummer,batteur,bom (m̀-/bə-),m-/bë-,bom,,bom,ø,cl1/cl2,Gender-1,nom,
hitter,frappeur,bomolo (m̀-/bə-),m-/bë-,bom-ol-o,,bom-,ol-o,cl1/cl2,Gender-1,nom,
castanet,castagnette,dagaba (ǹ-/min-),n-/min-,dag-ab-a,,dag-,ab-a,cl3/cl4,Gender-2,nom,
percussionist,percissionniste,kud (ǹ-/min-),n-/min-,kud,,kud,ø,cl3/cl4,Gender-2,nom,
collision,heurt,babalan (m̀-/min-),m-/min-,ba-bal-an,,ba-,bal-an,cl3/cl4,Gender-2,nom,
wingbeat,battement d'ailes (en parlant d'un gros oiseau),bubulán (m̀-/min-),m-/min-,bu-bul-an,bul,-bul-,an,cl3/cl4,Gender-2,nom,
clapping,battement de mains,tsoe (ø-/ø-),ø-/ø-,tso-e,,tsoe-,ø,cl9/cl10,Gender-5,nom,
blinking,battement des paupières,kábadan (e-/bi-),e-/bi-,kabad-an,,kabad-,an,cl7/cl8,Gender-4,nom,
flicker,clignotement,kábadan (mə-/mə-),më-/më-,kabad-an,,kabad-,an,cl6/cl6,Gender-5,nom,
drummer,batteur,báman (e-/bi-),e-/bi-,bam-an,,bam-,an,cl7/cl8,Gender-4,nom,
mixer,mixeur,vusuga (e-/bi-),e-/bi-,vus-ug-a,,vus-,ug-a,cl7/cl8,Gender-4,nom,
blender,mélangeur,bulan (m̀-/bə-),m-/bë-,bul-an,,bul-,an,cl1/cl2,Gender-1,nom,
beater,battoir,ngə́ŋ (e-/bi-),e-/bi-,ngëṅ,,ngëṅ,ø,cl7/cl8,Gender-4,nom,
hunt,battue,səbəsəbəle (ø-/ø-),ø-/ø-,sëb-ë-sëb-ël-e,,sëb-,ë-sëb-ël-e,cl9/cl10,Gender-5,nom,
tracking,traque,yádán (a-/mə-),a-/më-,yad-an,,yada-,an,cl5/cl6,Gender-3,nom,
beam,bau,sûga (e-/bi-),e-/bi-,sug-a,,sug-,a,cl7/cl8,Gender-4,nom,
ridge,faîtière,bóŋ (m̀-/min-),m-/min-,boṅ,,boṅ,ø,cl3/cl4,Gender-2,nom,
donkey,baudet,ózəle (ø-/ø-),ø-/ø-,ozël-e,,ozël-,e,cl9/cl10,Gender-5,nom,
baldric,baudrier,wɔ́g (e-/bi-),e-/bi-,wòg,,wòg,ø,cl7/cl8,Gender-4,nom,
pigsty,bauge,kam (a-/mə-),a-/më-,kam,,kam,ø,cl5/cl6,Gender-3,nom,
mud,fange,bóga (e-/bi-),e-/bi-,bog-a,,bog-,a,cl7/cl8,Gender-4,nom,
mire,fange,bóga (e-/bi-),e-/bi-,bog-a,,bog-,a,cl7/cl8,Gender-4,nom,
filth,immondice,kúkúá (e-/bi-),e-/bi-,ku-kua,ku,-kua,ø,cl7/cl8,Gender-4,nom,
garbage,immondice,kúkúá (e-/bi-),e-/bi-,ku-kua,ku,-kua,ø,cl7/cl8,Gender-4,nom,
shed,hangar,lúm (e-/bi-),e-/bi-,lum,,lum,ø,cl7/cl8,Gender-4,nom,
mud,boue,m̀bɔdɔg (ø-/ø-),ø-/ø-,mbod-og,,mbod-,og,cl9/cl10,Gender-5,nom,
balm,baume,bonda (a-/a-),a-/a-,bond-a,,bond-,a,cl5/cl5,Gender-3f,nom,
oil,huile,bɔ́n (m̀-/min-),m-/min-,bòn,,bòn,ø,cl3/cl4,Gender-2,nom,
parrot,perroquet,kos (ø-/ø-),ø-/ø-,kos,,kos,ø,cl9/cl10,Gender-5,nom,
bell,cloche,bəngé (a-/mə-),a-/më-,bëng-e,,bëng,e,cl5/cl6,Gender-3,nom,
mouth,bouche,nyu (a-/mə-),a-/më-,nyu,,nyu,ø,cl5/cl6,Gender-3,nom,
magpie,pie,dzole (e-/bi-),e-/bi-,dzol-e,,dzol-,e,cl7/cl8,Gender-4,nom,
chatterbox,bavard,fɔ́b (m̀-/min-),m-/min-,fòb,,fòb,ø,cl3/cl4,Gender-2,nom,
smooth talker,baratineur,kpɛ́ (m̀-/bə-),m-/bë-,kpè,,kpè,ø,cl1/cl2,Gender-1,nom,
orator,orateur,dzó (ǹ-/bə-),n-/bë-,dzo,,dzo,ø,cl1/cl2,Gender-1,nom,
talkative,loquace,kəgəde (ǹ-/bə-),n-/bë-,këg-ëd-e,,këg-,ëd-e,cl1/cl2,Gender-1,nom,
lecturer,conférencier,kəŋ (ǹ-/bə-),n-/bë-,këṅ,,këṅ,ø,cl1/cl2,Gender-1,nom,
speech,parole,kɔbɔ (ǹ-/min-),n-/min-,kob-o,,kob-,o,cl3/cl4,Gender-2,nom,
voluble,volubile,lǎg (ǹ-/min-),n-/min-,lag,,lag,ø,cl3/cl4,Gender-2,nom,
wordy,prolixe,kpəŋ (o-/o-),o-/o-,kpëṅ,,kpëṅ,ø,cl11/cl11,Gender-8b,nom,
verbose,verbeux,lag (ǹ-/bə-),n-/bë-,lag,,lag,ø,cl1/cl2,Gender-1,nom,
storyteller,conteur,lɛ̂ (ǹ-/bə-),n-/bë-,lè,,lè,ø,cl1/cl2,Gender-1,nom,
preacher,prédicateur,táŋan (ǹ-/bə-),n-/bë-,taṅ-an,,taṅ-,an,cl1/cl2,Gender-1,nom,
declaimer,déclameur,ǹdzóle (ø-/ø-),ø-/ø-,ndzo-le,,ndzo-,le,cl9/cl10,Gender-5,nom,
huckster,bonimenteur,kəgəde (o-/o-),o-/o-,këg-ëd-e,,këg-,ëd-e,cl11/cl11,Gender-8b,nom,
trickster,bonimenteur,kəgəde (o-/o-),o-/o-,këg-ëd-e,,këg-,ëd-e,cl11/cl11,Gender-8b,nom,
bluffer,bluffeur,lag (o-/o-),o-/o-,lag,,lag,ø,cl11/cl11,Gender-8b,nom,
talkative,causant,mvə́g (o-/o-),o-/o-,mvëg,,mvëg,ø,cl11/cl11,Gender-8b,nom,
stammering,bégaillement,kəgəbə (e-/bi-),e-/bi-,këg-ëb-ë,,këg-,ëb-ë,cl7/cl8,Gender-4,nom,
chats,causeries,láŋ (ǹ-/miǹ-),n-/min-,laṅ,,laṅ,ø,cl3/cl4,Gender-2,nom,
chatterbox,bavard,fɔb (m̀-/bə-),m-/bë-,fob,,fob,ø,cl1/cl2,Gender-1,nom,
tongue,langue,kɔbɔ (ǹ-/min-),n-/min-,kob-o,,kob-,o,cl3/cl4,Gender-2,nom,
communicative,communicatif,kɔ́l (ǹ-/min-),n-/min-,kòl,,kòl,ø,cl3/cl4,Gender-2,nom,
wordy,prolixe,dɔd (o-/o-),o-/o-,dòd,,dòd,ø,cl11/cl11,Gender-8b,nom,
impudent chatter,bavardage effronté,sás (e-/bi-),e-/bi-,sas,,sas,ø,cl7/cl8,Gender-4,nom,
excessive chatter,bavardage excessif,dzóle (e-/bi-),e-/bi-,dzo-le,,dzo-,le,cl7/cl8,Gender-4,nom,
declamation,déclamation,dzóle (ǹ-/min-),n-/min-,dzo-le,,dzo-,le,cl3/cl4,Gender-2,nom,
recitation,récitation,tálan (ǹ-/min-),n-/min-,tal-an,,tal-,an,cl3/cl4,Gender-2,nom,
sermon,prêche,táŋan (ǹ-/min-),n-/min-,taṅ-an,,taṅ-,an,cl3/cl4,Gender-2,nom,
bonnet,bavolet,fə́mbá (a-/mə-),a-/më-,fëm-ba,,fëm-,ba,cl5/cl6,Gender-3,nom,
hat,chapeau,tóm (ǹ-/min-),n-/min-,tom,,tom,ø,cl3/cl4,Gender-2,nom,
